DATE,UNRATE
4/1/2013,7.6
5/1/2013,7.5
6/1/2013,7.5
7/1/2013,7.3
8/1/2013,7.2
9/1/2013,7.2
10/1/2013,7.2
11/1/2013,6.9
12/1/2013,6.7
1/1/2014,6.6
2/1/2014,6.7
3/1/2014,6.7
4/1/2014,6.3
5/1/2014,6.3
6/1/2014,6.1
7/1/2014,6.2
8/1/2014,6.2
9/1/2014,5.9
10/1/2014,5.7
11/1/2014,5.8
12/1/2014,5.6
1/1/2015,5.7
2/1/2015,5.5
3/1/2015,5.5
4/1/2015,5.4
5/1/2015,5.5
6/1/2015,5.3
7/1/2015,5.2
8/1/2015,5.1
9/1/2015,5
10/1/2015,5
11/1/2015,5
12/1/2015,5
1/1/2016,4.9
2/1/2016,4.9
3/1/2016,5
4/1/2016,5
5/1/2016,4.7
6/1/2016,4.9
7/1/2016,4.9
8/1/2016,4.9
9/1/2016,5
10/1/2016,4.9
11/1/2016,4.6
12/1/2016,4.7
1/1/2017,4.8
2/1/2017,4.7
3/1/2017,4.5
4/1/2017,4.4
5/1/2017,4.3
6/1/2017,4.3
7/1/2017,4.3
8/1/2017,4.4
9/1/2017,4.2
10/1/2017,4.1
11/1/2017,4.1
12/1/2017,4.1
1/1/2018,4.1
2/1/2018,4.1
3/1/2018,4.1
4/1/2018,3.9
5/1/2018,3.8
6/1/2018,4
7/1/2018,3.9
8/1/2018,3.9
9/1/2018,3.7
10/1/2018,3.7
